name,desc,gpt4
CCS:218,psychological and psychiatric evaluation and therapy,0.75
CCS:219,alcohol and drug rehabilitation/detoxification,0.5
CCS:220,ophthalmologic and otologic diagnosis and treatment,0.0
CCS:234,pathology,0.1
CCS:237,ancillary services,0.2
LOINC:10587-4,Sexual abstinence duration,0.2
LOINC:13169-8,Interpretation,0.0
LOINC:13440-3,Interpretation,0.0
LOINC:13552-5,cloZAPine,0.75
LOINC:13588-9,Venlafaxine,0.9
LOINC:14062-4,Dexamethasone,0.1
LOINC:14334-7,Lithium,0.75
LOINC:16360-0,Amitriptyline,0.75
LOINC:19244-3,Character,0.0
LOINC:20559-1,Temazepam,0.5
LOINC:25700-6,Interpretation,0.0
LOINC:26831-8,Suberate,0.0
LOINC:3432-2,carBAMazepine,0.5
LOINC:34440-8,Interpretation,0.0
LOINC:3491-8,clomiPRAMINE,1.0
LOINC:35599-0,carBAMazepine,0.5
LOINC:35610-5,FLUoxetine,1.0
LOINC:35627-9,Nortriptyline,0.9
LOINC:35635-2,traZODone,0.75
LOINC:3690-5,Imipramine,0.9
LOINC:42216-2,Ref Lab Name,0.0
LOINC:728-6,Hypochromia,0.0
PheCode:244,hypothyroidism,0.2
PheCode:244.4,hypothyroidism nos,0.2
PheCode:250,diabetes mellitus,0.2
PheCode:250.21,type 2 diabetes with ketoacidosis,0.1
PheCode:251.1,hypoglycemia,0.2
PheCode:261,vitamin deficiency,0.2
PheCode:272.11,hypercholesterolemia,0.0
PheCode:276.5,hypovolemia,0.0
PheCode:290.3,other persistent mental disorders due to conditions classified elsewhere,0.5
PheCode:292,neurological disorders,0.5
PheCode:292.3,memory loss,0.5
PheCode:295,schizophrenia and other psychotic disorders,0.25
PheCode:295.3,psychosis,0.5
PheCode:296,mood disorders,0.9
PheCode:296.1,bipolar,0.75
PheCode:296.2,depression,1.0
PheCode:296.22,major depressive disorder,1.0
PheCode:297,suicidal ideation or attempt,0.9
PheCode:297.1,suicidal ideation,0.85
PheCode:297.2,suicide or self-inflicted injury,0.85
PheCode:300,"anxiety, phobic and dissociative disorders",0.75
PheCode:300.1,anxiety disorder,0.75
PheCode:300.11,generalized anxiety disorder,0.5
PheCode:300.12,"agorophobia, social phobia, and panic disorder",0.75
PheCode:300.3,obsessive-compulsive disorders,0.5
PheCode:300.4,dysthymic disorder,1.0
PheCode:300.8,acute reaction to stress,0.5
PheCode:301,personality disorders,0.5
PheCode:301.2,antisocial/borderline personality disorder,0.5
PheCode:302,sexual and gender identity disorders,0.25
PheCode:304,adjustment reaction,0.7
PheCode:305.2,eating disorder,0.5
PheCode:306,other mental disorder,0.5
PheCode:313,pervasive developmental disorders,0.5
PheCode:313.1,attention deficit hyperactivity disorder,0.3
PheCode:316,substance addiction and disorders,0.7
PheCode:317,alcohol-related disorders,0.5
PheCode:317.1,alcoholism,0.5
PheCode:318,tobacco use disorder,0.2
PheCode:327,sleep disorders,0.7
PheCode:327.4,insomnia,0.7
PheCode:327.41,organic or persistent insomnia,0.7
PheCode:338.2,chronic pain,0.5
PheCode:355.1,chronic pain syndrome,0.5
PheCode:360,disorders of the globe,0.0
PheCode:362,other retinal disorders,0.0
PheCode:362.3,other nondiabetic retinopathy,0.0
PheCode:364,corneal opacity and other disorders of cornea,0.0
PheCode:365,glaucoma,0.0
PheCode:365.2,primary angle-closure glaucoma,0.0
PheCode:366,cataract,0.0
PheCode:366.2,senile cataract,0.0
PheCode:367,disorders of refraction and accommodation; blindness and low vision,0.0
PheCode:367.9,blindness and low vision,0.2
PheCode:368,visual disturbances,0.2
PheCode:375,disorders of lacrimal system,0.0
PheCode:375.1,dry eyes,0.2
PheCode:377,disorders of optic nerve and visual pathways,0.0
PheCode:377.3,optic neuritis/neuropathy,0.0
PheCode:379,other disorders of eye,0.0
PheCode:411.3,angina pectoris,0.0
PheCode:429,ill-defined descriptions and complications of heart disease,0.0
PheCode:458,hypotension,0.2
PheCode:495,asthma,0.0
PheCode:509.8,dependence on respirator [ventilator] or supplemental oxygen,0.1
PheCode:599.4,urinary incontinence,0.2
PheCode:626.11,absent or infrequent menstruation,0.2
PheCode:626.14,irregular menstrual bleeding,0.2
PheCode:626.2,dysmenorrhea,0.2
