name,desc,sap_cos,sap_LP_cos,coder_cos,coder_LP_cos,svd_cos,old_cos,old_LP_cos,new_cos,new_LP_cos,selected_by,gpt4
PheCode:296.2,depression,1.0,0.9999998807907104,1.0000007152557373,1.0000004768371582,0.999999701976776,1.000000238418579,0.9999989867210388,1.000000238418579,0.9999999403953552,sap&sap_LP&coder&coder_LP&svd&old&old_LP&new&new_LP,1.0
PheCode:296,mood disorders,0.9862563014030457,0.9862565994262696,0.8263021111488342,0.8263020515441895,0.9416545033454896,0.8762204647064209,0.8744263052940369,0.86081862449646,0.8492988348007202,sap&sap_LP&coder&coder_LP&svd&old&old_LP&new&new_LP,0.9
LOCAL|LAB:DEVICE,device,0.980071187019348,0.980070948600769,0.6128443479537964,0.6128444075584412,0.0115879010409116,0.2462449222803115,0.2179203629493713,0.1524189412593841,0.1133681684732437,sap&sap_LP,0.0
LOCAL|LAB:MEDS,medications,0.9794482588768004,0.9794483184814452,0.6515376567840576,0.6515375971794128,0.0371046476066112,0.2716604471206665,0.2442799657583236,0.2675051391124725,0.2256641685962677,sap&sap_LP,0.5
LOCAL|LAB:MESSAGE,message,0.978741466999054,0.9787417650222778,0.6678521037101746,0.6678523421287537,0.0222867932170629,0.217315137386322,0.220845952630043,0.1336087733507156,0.1499761193990707,sap&sap_LP,0.0
LOINC:LP73191-6,Procedure,0.9785987734794616,0.978598415851593,0.6293272972106934,0.6293274760246277,0.0167866144329309,0.1798034012317657,0.229060098528862,0.132484421133995,0.1088736206293106,sap&sap_LP,0.0
LOCAL|LAB:SPECIMEN,specimen,0.97700035572052,0.9770005941390992,0.636397659778595,0.6363977789878845,0.0426023676991462,0.1963042616844177,0.2017278969287872,0.0621932633221149,0.1572663486003875,sap&sap_LP,0.0
LOCAL|LAB:REASON,reason,0.9768770933151244,0.9768765568733216,0.6619210839271545,0.6619211435317993,0.0263185370713472,0.2756681144237518,0.2764303684234619,0.189969465136528,0.1825241297483444,sap&sap_LP,0.0
RXNORM:10311,Tablet,0.9766570329666138,0.976656973361969,0.5658908486366272,0.5658907890319824,5.0847775128204376e-05,0.1871048659086227,0.2099342048168182,0.183385968208313,0.1347169429063797,sap&sap_LP,0.0
RXNORM:709653,DRAIN,0.9765620231628418,0.9765620231628418,0.6765105724334717,0.6765102744102478,0.0400831885635852,0.2198616713285446,0.232036605477333,0.1958551406860351,0.1379112005233764,sap&sap_LP,0.0
PheCode:348.7,coma,0.976442813873291,0.9764425158500672,0.7391860485076904,0.7391859292984009,-0.0040339599363505,0.3558766841888428,0.3488151729106903,0.3762767314910888,0.2986809313297272,sap&sap_LP&coder&coder_LP,0.1
LOCAL|LAB:RESULT,result,0.9761843085289,0.9761845469474792,0.620868444442749,0.6208685636520386,0.0252847615629434,0.2693149745464325,0.2671371698379516,0.1618755310773849,0.1661148071289062,sap&sap_LP,0.0
RXNORM:709699,DRESSING,0.9760940074920654,0.976093888282776,0.6414904594421387,0.6414903402328491,0.0388356819748878,0.2241499423980713,0.209318608045578,0.2504273355007171,0.1662191301584243,sap&sap_LP,0.0
LOCAL|LAB:DIAGNOSIS CODE,diagnosis code,0.9760653376579284,0.9760659337043762,0.6895699501037598,0.6895700097084045,0.0444242730736732,0.1746771186590194,0.1872187107801437,0.1060874909162521,0.0954461768269538,sap&sap_LP,0.0
RXNORM:62940,CONTAINER,0.9759275913238524,0.975927710533142,0.6022154092788696,0.6022154092788696,0.0472812131047248,0.2539023458957672,0.2226815074682235,0.1201801374554634,0.074622206389904,sap&sap_LP,0.0
LOINC:LP72256-8,Class,0.9758299589157104,0.9758298397064208,0.6431487798690796,0.6431485414505005,0.0090548293665051,0.2029937356710434,0.2118226289749145,0.1647292375564575,0.1251544654369354,sap&sap_LP,0.0
PheCode:312,conduct disorders,0.975642740726471,0.9756428003311156,0.7373652458190918,0.7373649477958679,0.3458569347858429,0.6810489892959595,0.6772874593734741,0.660442054271698,0.6213350296020508,sap&sap_LP&coder&coder_LP&svd&old&old_LP&new&new_LP,0.3
LOCAL|LAB:DOSE,dose,0.9755845069885254,0.9755843281745912,0.6357954740524292,0.6357954740524292,0.0007447887910529,0.2303445786237716,0.2276483178138733,0.2090189903974533,0.1224904656410217,sap&sap_LP,0.0
LOCAL|LAB:RATE,rate,0.9755339026451112,0.975534200668335,0.6171698570251465,0.6171700954437256,0.0123176807537674,0.1791023015975952,0.2001990526914596,0.2209958583116531,0.1326618641614914,sap&sap_LP,0.0
LOINC:LP135635-3,Specimen condition,0.9752874374389648,0.9752871990203856,0.6419150829315186,0.6419147849082947,0.0429163128137588,0.2551964223384857,0.2761860191822052,0.0626850947737693,0.0800758525729179,sap&sap_LP,0.0
LOCAL|LAB:SEE BELOW,see below,0.9752613306045532,0.975261390209198,0.6670217514038086,0.667021632194519,0.0506208129227161,0.2595368921756744,0.259288877248764,0.1850336492061615,0.1066806390881538,sap&sap_LP,0.0
LOINC:LP72255-0,Citation,0.9751805067062378,0.9751805663108826,0.634398341178894,0.6343982815742493,0.0203652735799551,0.1688928455114364,0.209090918302536,0.1138921678066253,0.0802536979317665,sap&sap_LP,0.0
LOINC:29300-1,Procedure type,0.975009024143219,0.978598415851593,0.6440008282661438,0.6293274760246277,0.0167866144329309,0.325354665517807,0.3384375274181366,0.1823671907186508,0.1909749507904052,sap&sap_LP,0.0
LOCAL|LAB:CHART DIAGNOSIS,chart diagnosis,0.974965751171112,0.9749659299850464,0.6906946897506714,0.6906945109367371,0.0461720488965511,0.1482192426919937,0.1902499049901962,0.1409256309270858,0.1035739630460739,sap&sap_LP,0.0
LOINC:29305-0,Medication prescribed,0.9749089479446412,0.9749087691307068,0.6733819246292114,0.6733818650245667,0.0722592696547508,0.2706661522388458,0.3099428117275238,0.308312177658081,0.2548461854457855,sap&sap_LP,0.5
LOCAL|LAB:COMMENT,comment,0.9748972058296204,0.974897027015686,0.6535717844963074,0.6535717844963074,0.0200256668031215,0.2298432141542434,0.2290003150701522,0.1178144440054893,0.1478546261787414,sap&sap_LP,0.0
