name,desc,sap_cos,coder_cos,svd_cos,old_cos,new_cos,selected_by,gpt3.5,gpt4
PheCode:714.1,rheumatoid arthritis,1.0000003576278689,0.9999995231628418,1.0000003576278689,1.0000001192092896,0.9999995231628418,sap&coder&svd&old&new,0,1.0
LOCAL|LAB:RA TITER,rheumatoid arthritis titer,0.987015664577484,0.8572428226470947,0.0884104147553443,0.2910036146640777,0.3602726459503174,sap&coder,0,1.0
PheCode:714.2,juvenile rheumatoid arthritis,0.984285831451416,0.8122051954269409,0.3124559223651886,0.7535845041275024,0.8440145254135132,sap&coder&svd&old&new,0,1.0
LOINC:LP16738-4,Rheumatoid factor,0.9743692278862,0.8724426627159119,0.1797688007354736,0.3180876672267914,0.3608666062355041,sap&coder&svd,0,1.0
LOCAL|LAB:RHEUMATOID FACTOR,rheumatoid factor,0.9743692278862,0.8724426627159119,0.0009259744547307,0.2701775431632995,0.3353144824504852,sap&coder,0,1.0
ShortName:RF,rheumatoid factor,0.9743692278862,0.8724426627159119,0.1151400282979011,0.4160391092300415,0.3396869301795959,sap&coder,0,1.0
CCS:149,arthroscopy,0.9621913433074952,0.6719648838043213,0.0767552256584167,0.445758193731308,0.3956230282783508,sap,0,0.5
PheCode:716.9,arthropathy nos,0.9596569538116456,0.7847942113876343,0.2616460621356964,0.6695514917373657,0.6795517802238464,sap&coder&svd&old&new,0,0.5
LOINC:LP14541-4,Rh,0.9595330357551576,0.6813816428184509,0.0083584543317556,0.2438600212335586,0.2939052879810333,sap,0,0.0
LOINC:LP31537-1,Rheumatoid factor IgG,0.9588778614997864,0.7193124294281006,0.1087903603911399,0.2325752824544906,0.2782558500766754,sap,0,1.0
LOCAL|LAB:BODY FLUID RF,body fluid rheumatoid factor,0.9579224586486816,0.7670740485191345,-0.0298375133424997,0.2547539174556732,0.305712878704071,sap&coder,0,1.0
RXNORM:1191,aspirin,0.9578487277030944,0.6466060876846313,0.0098754353821277,0.4945065081119537,0.4054224491119385,sap,0,0.25
PheCode:726.2,synoviopathy,0.9568800926208496,0.7653066515922546,0.1221145763993263,0.5526853203773499,0.5019393563270569,sap&coder,0,0.75
CCS:155,arthrocentesis,0.9564324021339417,0.7327396273612976,0.2899092137813568,0.5198644995689392,0.4690693914890289,sap&svd,0,0.75
LOINC:LP39544-9,Reagin Ab,0.9558391571044922,0.7622455358505249,-0.0143434396013617,0.1836757957935333,0.2619413733482361,sap&coder,0,0.1
RXNORM:121191,rituximab,0.9548371434211732,0.715387761592865,0.0541876554489135,0.4000137746334076,0.3505119681358337,sap,0,0.75
PheCode:394.4,acute rheumatic heart disease,0.9529421329498292,0.7740964889526367,0.0316271819174289,0.4398171901702881,0.4336124658584595,sap&coder,0,0.1
Other lab:pack52,Immunoglobulin A,0.952607810497284,0.6994215250015259,0.019170494750142,0.2727774083614349,0.3141578435897827,sap,0,0.2
LOINC:LP17677-3,Dacrocytes,0.9524757862091064,0.6706106662750244,0.0157641861587762,0.2313665151596069,0.2717876732349396,sap,0,0.0
LOCAL|LAB:SYNOVIAL MACROPHAGES,synovial macrophages,0.9519498348236084,0.7150546908378601,0.0131750823929905,0.2664187848567962,0.3079701960086822,sap,0,0.75
PheCode:741.4,joint effusions,0.951138198375702,0.7602142095565796,0.2052613645792007,0.6468956470489502,0.610557496547699,sap&coder&svd&old&new,0,0.75
LOINC:LP39554-8,Reticulin Ab,0.9510836005210876,0.7422887682914734,0.0381923019886016,0.2079992741346359,0.2591054141521454,sap&coder,0,0.5
LOCAL|LAB:RF TITER,rheumatoid factor titer,0.9508238434791564,0.8301140666007996,0.0290628317743539,0.2664702832698822,0.3282253742218017,sap&coder,0,1.0
RXNORM:168,acetic acid,0.9506876468658448,0.5807682871818542,0.0219300389289855,0.3546315133571625,0.3020670413970947,sap,0,0.0
PheCode:411.4,coronary atherosclerosis,0.9503708481788636,0.6946347951889038,0.0285792127251625,0.4321004152297973,0.3882292211055755,sap,0,0.1
PheCode:716.8,palindromic rheumatism,0.9503519535064696,0.8235730528831482,0.2909065783023834,0.6189398169517517,0.7501716613769531,sap&coder&svd&old&new,0,0.75
PheCode:440,atherosclerosis,0.950268805027008,0.7144038081169128,0.0334485843777656,0.4503197968006134,0.4077888131141662,sap,0,0.2
LOINC:LP39555-5,Reticulin IgA,0.9498324990272522,0.7403430938720703,-0.0049945120699703,0.2021810114383697,0.2479662150144577,sap&coder,0,0.1
