"code1","code2","source"
"RXNORM:74","PheCode:709.3","may treat(jun)"
"RXNORM:74","PheCode:701.3","may treat(jun)"
"RXNORM:74","PheCode:695.22","may treat(jun)"
"RXNORM:74","PheCode:604.3","may treat(jun)"
"RXNORM:74","PheCode:709.5","may treat(jun)"
"RXNORM:90","PheCode:NA","may treat(jun)"
"RXNORM:90","PheCode:656","may treat(jun)"
"RXNORM:103","PheCode:204.1","may treat(jun)"
"RXNORM:103","PheCode:204.21","may treat(jun)"
"RXNORM:149","PheCode:401.1","may treat(jun)"
"RXNORM:149","PheCode:752.2","may treat(jun)"
"RXNORM:161","PheCode:79.9","may treat(jun)"
"RXNORM:161","PheCode:525","may treat(jun)"
"RXNORM:161","PheCode:465","may treat(jun)"
"RXNORM:161","PheCode:NA","may treat(jun)"
"RXNORM:161","PheCode:783","may treat(jun)"
"RXNORM:161","PheCode:476","may treat(jun)"
"RXNORM:161","PheCode:306.9","may treat(jun)"
"RXNORM:161","PheCode:745","may treat(jun)"
"RXNORM:161","PheCode:760","may treat(jun)"
"RXNORM:161","PheCode:338.1","may treat(jun)"
"RXNORM:161","PheCode:340","may treat(jun)"
"RXNORM:167","PheCode:365.2","may treat(jun)"
"RXNORM:167","PheCode:365","may treat(jun)"
"RXNORM:167","PheCode:782.3","may treat(jun)"
"RXNORM:167","PheCode:289.8","may treat(jun)"
"RXNORM:167","PheCode:345.1","may treat(jun)"
"RXNORM:167","PheCode:365.1","may treat(jun)"
"RXNORM:168","PheCode:380.1","may treat(jun)"
"RXNORM:193","PheCode:290.1","may treat(jun)"
"RXNORM:193","PheCode:290.11","may treat(jun)"
"RXNORM:197","PheCode:497","may treat(jun)"
"RXNORM:197","PheCode:NA","may treat(jun)"
"RXNORM:197","PheCode:499","may treat(jun)"
"RXNORM:197","PheCode:496.3","may treat(jun)"
"RXNORM:197","PheCode:270.33","may treat(jun)"
"RXNORM:270","PheCode:90.2","may treat(jun)"
"RXNORM:281","PheCode:053","may treat(jun)"
"RXNORM:281","PheCode:054","may treat(jun)"
"RXNORM:281","PheCode:657","may treat(jun)"
"RXNORM:281","PheCode:323.8","may treat(jun)"
"RXNORM:296","PheCode:426","may treat(jun)"
"RXNORM:309","PheCode:499","may treat(jun)"
"RXNORM:430","PheCode:134.1","may treat(jun)"
"RXNORM:430","PheCode:323","may treat(jun)"
"RXNORM:448","PheCode:NA","may treat(jun)"
"RXNORM:480","PheCode:NA","may treat(jun)"
"RXNORM:519","PheCode:594.1","may treat(jun)"
"RXNORM:519","PheCode:274.1","may treat(jun)"
"RXNORM:519","PheCode:790.6","may treat(jun)"
"RXNORM:519","PheCode:274.11","may treat(jun)"
