name1,name2,desc1,desc2
CCS:10,CCS:12,"thyroidectomy, partial or complete",other therapeutic endocrine procedures
CCS:100,CCS:101,endoscopy and endoscopic biopsy of the urinary tract,"transurethral excision, drainage, or removal urinary obstruction"
CCS:100,CCS:102,endoscopy and endoscopic biopsy of the urinary tract,ureteral catheterization
CCS:100,CCS:109,endoscopy and endoscopic biopsy of the urinary tract,procedures on the urethra
CCS:100,CCS:112,endoscopy and endoscopic biopsy of the urinary tract,other or therapeutic procedures of urinary tract
CCS:101,CCS:102,"transurethral excision, drainage, or removal urinary obstruction",ureteral catheterization
CCS:101,CCS:103,"transurethral excision, drainage, or removal urinary obstruction",nephrotomy and nephrostomy
CCS:101,CCS:107,"transurethral excision, drainage, or removal urinary obstruction","extracorporeal lithotripsy, urinary"
CCS:101,CCS:111,"transurethral excision, drainage, or removal urinary obstruction",other non-or therapeutic procedures of urinary tract
CCS:101,CCS:112,"transurethral excision, drainage, or removal urinary obstruction",other or therapeutic procedures of urinary tract
CCS:101,CCS:113,"transurethral excision, drainage, or removal urinary obstruction",transurethral resection of prostate (turp)
CCS:102,CCS:103,ureteral catheterization,nephrotomy and nephrostomy
CCS:102,CCS:107,ureteral catheterization,"extracorporeal lithotripsy, urinary"
CCS:102,CCS:112,ureteral catheterization,other or therapeutic procedures of urinary tract
CCS:103,CCS:107,nephrotomy and nephrostomy,"extracorporeal lithotripsy, urinary"
CCS:103,CCS:111,nephrotomy and nephrostomy,other non-or therapeutic procedures of urinary tract
CCS:103,CCS:112,nephrotomy and nephrostomy,other or therapeutic procedures of urinary tract
CCS:109,CCS:112,procedures on the urethra,other or therapeutic procedures of urinary tract
CCS:111,CCS:112,other non-or therapeutic procedures of urinary tract,other or therapeutic procedures of urinary tract
CCS:117,CCS:118,"other non-or therapeutic procedures, male genital","other or therapeutic procedures, male genital"
CCS:118,CCS:85,"other or therapeutic procedures, male genital",inguinal and femoral hernia repair
CCS:119,CCS:123,"oophorectomy, unilateral and bilateral",other operations on fallopian tubes
CCS:119,CCS:124,"oophorectomy, unilateral and bilateral","hysterectomy, abdominal and vaginal"
CCS:119,CCS:125,"oophorectomy, unilateral and bilateral",other excision of cervix and uterus
CCS:123,CCS:124,other operations on fallopian tubes,"hysterectomy, abdominal and vaginal"
CCS:124,CCS:125,"hysterectomy, abdominal and vaginal",other excision of cervix and uterus
CCS:125,CCS:132,other excision of cervix and uterus,"other or therapeutic procedures, female organs"
CCS:14,CCS:15,glaucoma procedures,lens and cataract procedures
CCS:142,CCS:160,partial excision bone,other therapeutic procedures on muscles and tendons
CCS:142,CCS:161,partial excision bone,other or therapeutic procedures on bone
CCS:142,CCS:162,partial excision bone,other or therapeutic procedures on joints
CCS:144,CCS:28,"treatment, facial fracture or dislocation",plastic procedures on nose
CCS:145,CCS:147,"treatment, fracture or dislocation of radius and ulna","treatment, fracture or dislocation of lower extremity (other than hip or femur)"
CCS:145,CCS:148,"treatment, fracture or dislocation of radius and ulna",other fracture and dislocation procedure
CCS:146,CCS:153,"treatment, fracture or dislocation of hip and femur","hip replacement, total and partial"
CCS:148,CCS:161,other fracture and dislocation procedure,other or therapeutic procedures on bone
CCS:149,CCS:150,arthroscopy,"division of joint capsule, ligament or cartilage"
CCS:149,CCS:151,arthroscopy,excision of semilunar cartilage of knee
CCS:149,CCS:154,arthroscopy,arthroplasty other than hip or knee
CCS:149,CCS:162,arthroscopy,other or therapeutic procedures on joints
CCS:150,CCS:154,"division of joint capsule, ligament or cartilage",arthroplasty other than hip or knee
CCS:150,CCS:162,"division of joint capsule, ligament or cartilage",other or therapeutic procedures on joints
CCS:152,CCS:153,arthroplasty knee,"hip replacement, total and partial"
CCS:152,CCS:162,arthroplasty knee,other or therapeutic procedures on joints
CCS:154,CCS:162,arthroplasty other than hip or knee,other or therapeutic procedures on joints
CCS:157,CCS:55,amputation of lower extremity,peripheral vascular bypass
CCS:157,CCS:60,amputation of lower extremity,embolectomy and endarterectomy of lower limbs
CCS:158,CCS:161,spinal fusion,other or therapeutic procedures on bone
CCS:158,CCS:3,spinal fusion,"laminectomy, excision intervertebral disc"
CCS:160,CCS:162,other therapeutic procedures on muscles and tendons,other or therapeutic procedures on joints
CCS:161,CCS:162,other or therapeutic procedures on bone,other or therapeutic procedures on joints
CCS:161,CCS:3,other or therapeutic procedures on bone,"laminectomy, excision intervertebral disc"
CCS:165,CCS:166,breast biopsy and other diagnostic procedures on breast,"lumpectomy, quadrantectomy of breast"
CCS:165,CCS:167,breast biopsy and other diagnostic procedures on breast,mastectomy
CCS:166,CCS:167,"lumpectomy, quadrantectomy of breast",mastectomy
CCS:180,CCS:211,other ct scan,therapeutic radiology
CCS:184,CCS:82,intraoperative cholangiogram,endoscopic retrograde cannulation of pancreas (ercp)
CCS:184,CCS:84,intraoperative cholangiogram,cholecystectomy and common duct exploration
CCS:188,CCS:59,cerebral arteriogram,other or procedures on vessels of head and neck
CCS:189,CCS:190,contrast aortogram,contrast arteriogram of femoral and lower extremity arteries
CCS:189,CCS:191,contrast aortogram,arterio- or venogram (not heart and head)
CCS:189,CCS:55,contrast aortogram,peripheral vascular bypass
CCS:189,CCS:60,contrast aortogram,embolectomy and endarterectomy of lower limbs
CCS:189,CCS:61,contrast aortogram,other or procedures on vessels other than head and neck
CCS:190,CCS:191,contrast arteriogram of femoral and lower extremity arteries,arterio- or venogram (not heart and head)
CCS:190,CCS:55,contrast arteriogram of femoral and lower extremity arteries,peripheral vascular bypass
CCS:190,CCS:60,contrast arteriogram of femoral and lower extremity arteries,embolectomy and endarterectomy of lower limbs
CCS:190,CCS:61,contrast arteriogram of femoral and lower extremity arteries,other or procedures on vessels other than head and neck
CCS:191,CCS:61,arterio- or venogram (not heart and head),other or procedures on vessels other than head and neck
CCS:193,CCS:47,diagnostic ultrasound of heart (echocardiogram),"diagnostic cardiac catheterization, coronary arteriography"
CCS:201,CCS:209,cardiac stress tests,radioisotope scan and function studies
CCS:203,CCS:48,electrographic cardiac monitoring,"insertion, revision, replacement, removal of cardiac pacemaker or cardioverter/defibrillator"
CCS:204,CCS:43,swan-ganz catheterization for monitoring,heart valve procedures
CCS:204,CCS:44,swan-ganz catheterization for monitoring,coronary artery bypass graft (cabg)
CCS:204,CCS:49,swan-ganz catheterization for monitoring,other or heart procedures
CCS:204,CCS:50,swan-ganz catheterization for monitoring,extracorporeal circulation auxiliary to open heart procedures
CCS:204,CCS:52,swan-ganz catheterization for monitoring,"aortic resection, replacement or anastomosis"
CCS:212,CCS:213,diagnostic physical therapy,"physical therapy exercises, manipulation, and other procedures"
CCS:22,CCS:24,tympanoplasty,mastoidectomy
CCS:225,CCS:48,conversion of cardiac rhythm,"insertion, revision, replacement, removal of cardiac pacemaker or cardioverter/defibrillator"
CCS:225,CCS:49,conversion of cardiac rhythm,other or heart procedures
CCS:244,CCS:74,gastric bypass and volume reduction,"gastrectomy, partial and total"
CCS:28,CCS:33,plastic procedures on nose,"other or therapeutic procedures on nose, mouth and pharynx"
CCS:32,CCS:33,"other non-or therapeutic procedures on nose, mouth and pharynx","other or therapeutic procedures on nose, mouth and pharynx"
CCS:43,CCS:44,heart valve procedures,coronary artery bypass graft (cabg)
CCS:43,CCS:49,heart valve procedures,other or heart procedures
CCS:43,CCS:50,heart valve procedures,extracorporeal circulation auxiliary to open heart procedures
CCS:44,CCS:49,coronary artery bypass graft (cabg),other or heart procedures
CCS:44,CCS:50,coronary artery bypass graft (cabg),extracorporeal circulation auxiliary to open heart procedures
CCS:45,CCS:46,percutaneous transluminal coronary angioplasty (ptca),coronary thrombolysis
CCS:45,CCS:47,percutaneous transluminal coronary angioplasty (ptca),"diagnostic cardiac catheterization, coronary arteriography"
CCS:47,CCS:49,"diagnostic cardiac catheterization, coronary arteriography",other or heart procedures
CCS:48,CCS:49,"insertion, revision, replacement, removal of cardiac pacemaker or cardioverter/defibrillator",other or heart procedures
CCS:49,CCS:50,other or heart procedures,extracorporeal circulation auxiliary to open heart procedures
CCS:52,CCS:56,"aortic resection, replacement or anastomosis","other vascular bypass and shunt, not heart"
CCS:52,CCS:61,"aortic resection, replacement or anastomosis",other or procedures on vessels other than head and neck
CCS:55,CCS:60,peripheral vascular bypass,embolectomy and endarterectomy of lower limbs
CCS:55,CCS:61,peripheral vascular bypass,other or procedures on vessels other than head and neck
CCS:57,CCS:58,"creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis",hemodialysis
CCS:60,CCS:61,embolectomy and endarterectomy of lower limbs,other or procedures on vessels other than head and neck
CCS:69,CCS:70,esophageal dilatation,"upper gastrointestinal endoscopy, biopsy"
CCS:70,CCS:76,"upper gastrointestinal endoscopy, biopsy",colonoscopy and biopsy
CCS:72,CCS:75,"colostomy, temporary and permanent",small bowel resection
CCS:72,CCS:78,"colostomy, temporary and permanent",colorectal resection
CCS:72,CCS:90,"colostomy, temporary and permanent","excision, lysis peritoneal adhesions"
CCS:72,CCS:96,"colostomy, temporary and permanent",other or lower gi therapeutic procedures
CCS:73,CCS:74,ileostomy and other enterostomy,"gastrectomy, partial and total"
CCS:73,CCS:75,ileostomy and other enterostomy,small bowel resection
CCS:73,CCS:94,ileostomy and other enterostomy,other or upper gi therapeutic procedures
CCS:73,CCS:96,ileostomy and other enterostomy,other or lower gi therapeutic procedures
CCS:74,CCS:94,"gastrectomy, partial and total",other or upper gi therapeutic procedures
CCS:75,CCS:78,small bowel resection,colorectal resection
CCS:75,CCS:86,small bowel resection,other hernia repair
CCS:75,CCS:89,small bowel resection,exploratory laparotomy
CCS:75,CCS:90,small bowel resection,"excision, lysis peritoneal adhesions"
CCS:75,CCS:96,small bowel resection,other or lower gi therapeutic procedures
CCS:76,CCS:77,colonoscopy and biopsy,proctoscopy and anorectal biopsy
CCS:78,CCS:80,colorectal resection,appendectomy
CCS:78,CCS:90,colorectal resection,"excision, lysis peritoneal adhesions"
CCS:78,CCS:96,colorectal resection,other or lower gi therapeutic procedures
CCS:80,CCS:90,appendectomy,"excision, lysis peritoneal adhesions"
CCS:82,CCS:84,endoscopic retrograde cannulation of pancreas (ercp),cholecystectomy and common duct exploration
CCS:82,CCS:98,endoscopic retrograde cannulation of pancreas (ercp),other non-or gastrointestinal therapeutic procedures
CCS:85,CCS:86,inguinal and femoral hernia repair,other hernia repair
CCS:86,CCS:90,other hernia repair,"excision, lysis peritoneal adhesions"
CCS:87,CCS:90,laparoscopy,"excision, lysis peritoneal adhesions"
CCS:89,CCS:90,exploratory laparotomy,"excision, lysis peritoneal adhesions"
CCS:90,CCS:96,"excision, lysis peritoneal adhesions",other or lower gi therapeutic procedures
CCS:1,PheCode:191,incision and excision of cns,malignant and unknown neoplasms of brain and nervous system
CCS:1,PheCode:191.1,incision and excision of cns,cancer of brain and nervous system
CCS:1,PheCode:191.11,incision and excision of cns,cancer of brain
