name,desc,gpt4
CCS:143,bunionectomy or repair of toe deformities,0.2
CCS:155,arthrocentesis,0.75
CCS:156,"injections and aspirations of muscles, tendons, bursa, joints and soft tissue",0.75
CCS:157,amputation of lower extremity,0.1
CCS:158,spinal fusion,0.25
CCS:161,other or therapeutic procedures on bone,0.5
CCS:162,other or therapeutic procedures on joints,0.75
CCS:163,other non-or therapeutic procedures on musculoskeletal system,0.75
CCS:211,therapeutic radiology,0.3
CCS:214,"traction, splints, and other wound care",0.2
CCS:230,"extracorporeal shock wave, other than urinary",0.1
CCS:234,pathology,0.05
CCS:235,other laboratory,0.05
CCS:236,home health services,0.25
CCS:39,"incision of pleura, thoracentesis, chest drainage",0.2
CCS:69,esophageal dilatation,0.1
LOINC:11039-5,CRP SerPl Ql,0.75
LOINC:11090-8,ENA SM Ab Ser-aCnc,0.2
LOINC:13634-1,Rheumatoid fact Snv-aCnc,0.75
LOINC:13930-3,Rheumatoid fact Titr Snv Aggl,1.0
LOINC:14062-4,Dexamethasone SerPl-mCnc,0.75
LOINC:15204-1,Rheumatoid fact Titr Ser Neph,0.9
LOINC:15205-8,Rheumatoid fact Ser Neph-aCnc,0.75
LOINC:17521-6,Reticulin Ab Ser Ql,0.2
LOINC:17791-5,ENA SS-B Ab Ser-aCnc,0.2
LOINC:17792-3,ENA SS-A Ab Ser-aCnc,0.75
LOINC:20507-0,RPR Ser Ql,0.1
LOINC:20508-8,RPR SerPl-aCnc,0.75
LOINC:2915-7,Renin Plas-cCnc,0.1
LOINC:30522-7,CRP SerPl HS-mCnc,0.75
LOINC:32218-0,cCP Ab Ser IA-aCnc,0.9
LOINC:33935-8,cCP IgG SerPl-aCnc,0.85
LOINC:35614-7,Ibuprofen SerPl Scn-mCnc,0.75
LOINC:39803-2,inFLIXimab SerPl-mCnc,0.75
LOINC:4537-7,ESR Bld Qn Westrgrn,0.75
LOINC:46106-1,MRN,0.0
LOINC:5289-4,VDRL CSF-aCnc,0.0
LOINC:5781-0,Crystals Snv Micro,0.1
LOINC:7797-4,Rouleaux Bld Ql Smear,0.2
LOINC:X1166-8,crp (mg/l) (group:crpt),0.75
PheCode:008.5,bacterial enteritis,0.1
PheCode:038.3,bacteremia,0.1
PheCode:071,human immunodeficiency virus [hiv] disease,0.1
PheCode:270.33,amyloidosis,0.3
PheCode:274,gout and other crystal arthropathies,0.2
PheCode:274.1,gout,0.1
PheCode:274.11,gouty arthropathy,0.0
PheCode:277,other disorders of metabolism,0.1
PheCode:279,disorders involving the immune mechanism,0.7
PheCode:287,purpura and other hemorrhagic conditions,0.1
PheCode:287.31,primary thrombocytopenia,0.1
PheCode:289.4,lymphadenitis,0.2
PheCode:290.3,other persistent mental disorders due to conditions classified elsewhere,0.0
PheCode:300,"anxiety, phobic and dissociative disorders",0.1
PheCode:300.8,acute reaction to stress,0.0
PheCode:305.2,eating disorder,0.0
PheCode:313.1,attention deficit hyperactivity disorder,0.0
PheCode:335,multiple sclerosis,0.0
PheCode:337,disorders of the autonomic nervous system,0.1
PheCode:338.2,chronic pain,0.5
PheCode:351,other peripheral nerve disorders,0.1
PheCode:355,complex regional/central pain syndrome,0.1
PheCode:357,inflammatory and toxic neuropathy,0.25
PheCode:362,other retinal disorders,0.1
PheCode:364,corneal opacity and other disorders of cornea,0.2
PheCode:375,disorders of lacrimal system,0.1
PheCode:377.3,optic neuritis/neuropathy,0.1
PheCode:394,rheumatic disease of the heart valves,0.3
PheCode:401.21,hypertensive heart disease,0.0
PheCode:414,other forms of chronic heart disease,0.2
PheCode:443.1,raynaud's syndrome,0.3
PheCode:458.1,orthostatic hypotension,0.1
PheCode:473,diseases of the larynx and vocal cords,0.1
PheCode:476,allergic rhinitis,0.0
PheCode:495,asthma,0.0
PheCode:510,other diseases of lung,0.1
PheCode:555.1,regional enteritis,0.0
PheCode:555.2,ulcerative colitis,0.1
PheCode:560.2,impaction of intestine,0.0
PheCode:597,other disorders of urethra and urinary tract,0.0
PheCode:619.1,"noninflammatory disorders of ovary, fallopian tube, and broad ligament",0.0
PheCode:619.4,noninflammatory disorders of vagina,0.0
PheCode:687,symptoms affecting skin,0.2
PheCode:687.1,rash and other nonspecific skin eruption,0.2
PheCode:689,disorder of skin and subcutaneous tissue nos,0.1
PheCode:695,erythematous conditions,0.2
PheCode:695.3,rosacea,0.0
PheCode:695.4,lupus (localized and systemic),0.2
PheCode:695.41,cutaneous lupus erythematosus,0.2
PheCode:696,psoriasis and related disorders,0.25
PheCode:696.4,psoriasis,0.25
PheCode:701,other hypertrophic and atrophic conditions of skin,0.1
PheCode:703,"diseases of nail, nos",0.1
PheCode:705,disorders of sweat glands,0.0
PheCode:706.1,acne,0.0
PheCode:709.2,sicca syndrome,0.5
PheCode:714,rheumatoid arthritis and other inflammatory polyarthropathies,1.0
PheCode:714.1,rheumatoid arthritis,1.0
PheCode:715,other inflammatory spondylopathies,0.2
PheCode:720,spinal stenosis,0.2
PheCode:720.1,spinal stenosis of lumbar region,0.2
PheCode:721,spondylosis and allied disorders,0.2
PheCode:721.1,spondylosis without myelopathy,0.0
PheCode:722,intervertebral disc disorders,0.1
PheCode:722.1,displacement of intervertebral disc,0.1
PheCode:722.6,degeneration of intervertebral disc,0.1
PheCode:726,peripheral enthesopathies and allied syndromes,0.5
PheCode:726.1,enthesopathy,0.5
PheCode:727,"other disorders of synovium, tendon, and bursa",0.75
PheCode:733,other disorders of bone and cartilage,0.25
PheCode:735,acquired foot deformities,0.5
PheCode:737,curvature of spine,0.2
PheCode:737.3,kyphoscoliosis and scoliosis,0.1
PheCode:738,other acquired musculoskeletal deformity,0.5
PheCode:740,osteoarthrosis,0.0
PheCode:740.1,osteoarthritis; localized,0.0
PheCode:740.11,"osteoarthrosis, localized, primary",0.0
PheCode:741,symptoms and disorders of the joints,0.75
PheCode:741.2,stiffness of joint,0.75
PheCode:741.4,joint effusions,0.75
PheCode:743,"osteoporosis, osteopenia and pathological fracture",0.25
PheCode:743.1,osteoporosis,0.25
PheCode:743.11,osteoporosis nos,0.25
PheCode:743.9,osteopenia or other disorder of bone and cartilage,0.25
PheCode:745,pain in joint,0.75
PheCode:747.1,cardiac congenital anomalies,0.0
PheCode:755.1,congenital deformities of feet,0.1
PheCode:759,other and unspecified congenital anomalies,0.0
PheCode:766,"neuralgia, neuritis, and radiculitis nos",0.1
PheCode:770,myalgia and myositis unspecified,0.25
PheCode:782.3,edema,0.25
PheCode:819,skull and face fracture and other intercranial injury,0.0
PheCode:840.3,joint/ligament sprain,0.2
PheCode:857,"mechanical complication of unspecified genitourinary device, implant, and graft",0.0
PheCode:977,personal history of allergy to medicinal agents,0.1
RXNORM:10759,triamcinolone,0.75
RXNORM:140587,celecoxib,0.75
RXNORM:191831,infliximab,0.75
RXNORM:214182,acetaminophen / hydrocodone,0.25
RXNORM:215830,CALCIUM CARBONATE/VITAMIN D,0.1
RXNORM:225852,leucovorin calcium,0.1
RXNORM:2418,cholecalciferol,0.2
RXNORM:28200,ketorolac tromethamine,0.5
RXNORM:28889,loratadine,0.0
RXNORM:3355,diclofenac,0.75
RXNORM:4511,folic acid,0.75
RXNORM:46041,alendronate,0.5
RXNORM:5521,hydroxychloroquine,0.75
RXNORM:5640,ibuprofen,0.75
RXNORM:6851,methotrexate,0.9
RXNORM:6902,methylprednisolone,0.75
RXNORM:7258,naproxen,0.75
RXNORM:72625,duloxetine,0.25
RXNORM:8640,prednisone,0.75
PheCode:255.21,glucocorticoid deficiency,0.2
PheCode:285.2,anemia of chronic disease,0.5
PheCode:292.1,aphasia/speech disturbance,0.1
PheCode:315.3,mental retardation,0.0
PheCode:343,infantile cerebral palsy,0.0
PheCode:450,noninfectious disorders of lymphatic channels,0.1
PheCode:458.9,hypotension nos,0.0
PheCode:523,gingival and periodontal diseases,0.2
PheCode:695.9,unspecified erythematous condition,0.2
PheCode:707.3,chronic ulcer of unspecified site,0.1
PheCode:726.3,bursitis,0.3
PheCode:727.1,synovitis and tenosynovitis,0.75
PheCode:739,contracture of joint,0.6
PheCode:750,digestive congenital anomalies,0.0
PheCode:772.3,muscle weakness,0.35
PheCode:781,symptoms involving nervous and musculoskeletal systems,0.5
PheCode:990,effects radiation nos,0.1
PheCode:010,tuberculosis,0.0
PheCode:090,sexually transmitted infections (not hiv or hepatitis),0.0
PheCode:130,spirochetal infection,0.1
PheCode:202.22,reticulosarcoma,0.0
PheCode:274.2,crystal arthropathies,0.2
PheCode:279.1,immunity deficiency,0.2
PheCode:279.11,deficiency of humoral immunity,0.2
PheCode:289.9,abnormality of red blood cells,0.2
PheCode:302.1,decreased libido,0.1
PheCode:333.8,other degenerative diseases of the basal ganglia,0.0
PheCode:334,degenerative disease of the spinal cord,0.1
PheCode:341,other demyelinating diseases of central nervous system,0.0
PheCode:372,disorders of conjunctiva,0.2
PheCode:374,other disorders of eyelids,0.1
PheCode:426.32,left bundle branch block,0.1
PheCode:447,other disorders of arteries and arterioles,0.2
PheCode:480.3,pneumonia due to fungus (mycoses),0.2
PheCode:560.3,peritoneal or intestinal adhesions,0.0
PheCode:655,known or suspected fetal abnormality affecting management of mother,0.0
PheCode:694.2,other dyschromia,0.1
PheCode:695.42,systemic lupus erythematosus,0.2
PheCode:696.42,psoriatic arthropathy,0.4
PheCode:697,sarcoidosis,0.0
PheCode:710,"osteomyelitis, periostitis, and other infections involving bone",0.2
PheCode:710.11,acute osteomyelitis,0.1
PheCode:710.19,unspecified osteomyelitis,0.1
PheCode:711,arthropathy associated with infections,0.25
PheCode:711.1,pyogenic arthritis,0.2
PheCode:714.2,juvenile rheumatoid arthritis,1.0
PheCode:715.1,sacroiliitis nec,0.5
PheCode:715.2,ankylosing spondylitis,0.2
PheCode:716,other arthropathies,0.5
PheCode:716.9,arthropathy nos,0.5
PheCode:721.8,other allied disorders of spine,0.2
PheCode:723.1,torticollis,0.1
PheCode:724.1,disorders of sacrum,0.1
PheCode:727.5,rupture of synovium,0.75
PheCode:729,other disorders of soft tissues,0.2
PheCode:735.2,acquired toe deformities,0.3
PheCode:735.21,hammer toe (acquired),0.1
PheCode:735.3,hallux valgus (bunion),0.2
PheCode:737.1,kyphosis (acquired),0.1
PheCode:740.12,"osteoarthrosis, localized, secondary",0.2
PheCode:752.11,spina bifida,0.0
PheCode:756.5,congenital osteodystrophies,0.1
PheCode:796,elevated prostate specific antigen [psa],0.0
PheCode:854,"complications of cardiac/vascular device, implant, and graft",0.1
PheCode:858,complication of internal orthopedic device,0.35
RXNORM:10689,tramadol,0.25
RXNORM:1256,azathioprine,0.75
RXNORM:31448,nabumetone,0.75
RXNORM:8638,prednisolone,0.75
LOINC:X1179-1,relative risk (chol/hdl) (group:relrisk),0.1
LOINC:X1390-4,radioiodine therapy (group:radiod),0.0
PheCode:079.1,varicella infection,0.0
PheCode:250.7,diabetic retinopathy,0.0
PheCode:300.13,phobia,0.0
PheCode:353.1,nerve plexus lesions,0.1
PheCode:358.1,myasthenia gravis,0.0
PheCode:362.4,retinal vascular changes and abnomalities,0.2
PheCode:371.1,"uveitis, noninfectious or nos",0.5
PheCode:446.5,giant cell arteritis,0.5
PheCode:448,disease of capillaries,0.1
PheCode:599.1,urinary obstruction,0.1
PheCode:612.1,galactorrhea,0.0
PheCode:614.3,pelvic inflammatory disease (pid),0.0
PheCode:619.3,noninflammatory disorders of cervix,0.0
PheCode:654.2,rhesus isoimmunization in pregnancy,0.0
PheCode:691,congenital anomalies of skin,0.0
PheCode:695.81,erythema nodosum,0.5
PheCode:701.4,keloid scar,0.0
PheCode:709.3,systemic sclerosis,0.2
PheCode:709.7,unspecified diffuse connective tissue disease,0.5
PheCode:711.3,behcet's syndrome,0.2
PheCode:713,arthropathy associated with other disorders classified elsewhere,0.5
PheCode:713.5,arthropathy associated with neurological disorders,0.2
PheCode:716.1,unspecified polyarthropathy or polyarthritis,0.75
PheCode:722.3,schmorl's nodes,0.1
PheCode:727.2,bursitis disorders,0.3
PheCode:733.4,aseptic necrosis of bone,0.3
PheCode:733.9,chondromalacia,0.2
PheCode:740.9,osteoarthrosis nos,0.0
PheCode:790.8,elevated c-reactive protein (crp),0.75
PheCode:907,injuries to the nervous system,0.1
RXNORM:10237,sulindac,0.75
RXNORM:10395,tetracycline,0.0
RXNORM:1227,auranofin,0.75
RXNORM:214555,etanercept,1.0
RXNORM:2393,chloroquine,0.75
RXNORM:27169,leflunomide,1.0
RXNORM:278567,valdecoxib,0.75
RXNORM:327361,adalimumab,1.0
RXNORM:37806,terconazole,0.0
RXNORM:5781,indomethacin,0.75
RXNORM:6142,ketoprofen,0.75
RXNORM:8356,piroxicam,0.75
PheCode:041.21,rheumatic fever / chorea,0.2
PheCode:254,diseases of thymus gland,0.2
PheCode:261.41,rickets or osteomalacia,0.0
PheCode:271.9,other disorders of carbohydrate transport and metabolism,0.1
PheCode:277.51,lipoprotein disorders,0.1
PheCode:334.2,anterior horn cell disease,0.0
PheCode:362.27,drusen (degenerative) of retina,0.0
PheCode:362.7,hereditary retinal dystrophies,0.0
PheCode:379.5,disorders of iris and ciliary body,0.1
PheCode:394.4,acute rheumatic heart disease,0.1
PheCode:425.12,other hypertrophic cardiomyopathy,0.1
PheCode:427.41,ventricular fibrillation and flutter,0.0
PheCode:500.2,pneumoconiosis,0.0
PheCode:588.1,renal osteodystrophy,0.0
PheCode:695.1,toxic erythema,0.1
PheCode:695.21,dermatitis herpetiformis,0.1
PheCode:695.22,pemphigus and pemphigoid,0.1
PheCode:704.8,other specified diseases of hair and hair follicles,0.0
PheCode:709.4,polymyositis,0.2
PheCode:709.5,dermatomyositis,0.2
PheCode:710.12,chronic osteomyelitis,0.1
PheCode:711.2,reiter's disease,0.3
PheCode:717,polymyalgia rheumatica,0.5
PheCode:722.8,postlaminectomy syndrome,0.0
PheCode:726.2,synoviopathy,0.75
PheCode:728.2,laxity of ligament or hypermobility syndrome,0.2
PheCode:729.1,"rheumatism, unspecified and fibrositis",0.5
PheCode:731.1,osteitis deformans [paget's disease of bone],0.1
PheCode:740.2,"osteoarthrosis, generalized",0.0
PheCode:740.3,"osteoarthrosis involving more than one site, but not specified as generalized",0.1
PheCode:741.1,ankylosis of joint,0.75
PheCode:743.12,senile osteoporosis,0.1
PheCode:743.13,other specified osteoporosis,0.2
PheCode:751.22,other specified congenital anomalies of kidney,0.0
PheCode:755.4,"congenital anomalies of upper limb, including shoulder girdle",0.1
PheCode:790.1,elevated sedimentation rate,0.5
PheCode:836,traumatic arthropathy,0.2
RXNORM:1357536,tofacitinib,0.9
RXNORM:2878,cortisone,0.75
RXNORM:3393,diflunisal,0.75
RXNORM:35465,Rho(D) immune globulin,0.0
RXNORM:4502,flurbiprofen,0.75
RXNORM:4980,aurothioglucose,0.75
RXNORM:612865,tocilizumab,1.0
RXNORM:614391,abatacept,0.9
RXNORM:72435,anakinra,1.0
RXNORM:9524,sulfasalazine,0.75
PheCode:741.5,hemarthrosis,0.5
RXNORM:10432,thalidomide,0.75
PheCode:749.1,cleft palate,0.0
PheCode:604.1,redundant prepuce and phimosis/bxo,0.0
PheCode:753.2,congenital anomalies of posterior segment of eye,0.0
PheCode:716.2,unspecified monoarthritis,0.5
PheCode:727.7,contracture of tendon (sheath),0.25
PheCode:736.6,unequal leg length (acquired),0.1
PheCode:742.1,loose body in joint,0.25
PheCode:742.8,articular cartilage disorder,0.5
