desc,gpt4
psychological and psychiatric evaluation and therapy,0.75
alcohol and drug rehabilitation/detoxification,0.5
ophthalmologic and otologic diagnosis and treatment,0.0
pathology,0.1
ancillary services,0.2
Sexual abstinence duration,0.2
Interpretation,0.0
cloZAPine,0.75
Venlafaxine,0.9
Dexamethasone,0.1
Lithium,0.75
Amitriptyline,0.75
Character,0.0
Temazepam,0.5
Suberate,0.0
carBAMazepine,0.5
clomiPRAMINE,1.0
FLUoxetine,1.0
Nortriptyline,0.9
traZODone,0.75
Imipramine,0.9
Ref Lab Name,0.0
Hypochromia,0.0
hypothyroidism,0.2
hypothyroidism nos,0.2
diabetes mellitus,0.2
type 2 diabetes with ketoacidosis,0.1
hypoglycemia,0.2
vitamin deficiency,0.2
hypercholesterolemia,0.0
hypovolemia,0.0
other persistent mental disorders due to conditions classified elsewhere,0.5
neurological disorders,0.5
memory loss,0.5
schizophrenia and other psychotic disorders,0.25
psychosis,0.5
mood disorders,0.9
bipolar,0.75
depression,1.0
major depressive disorder,1.0
suicidal ideation or attempt,0.9
suicidal ideation,0.85
suicide or self-inflicted injury,0.85
"anxiety, phobic and dissociative disorders",0.75
anxiety disorder,0.75
generalized anxiety disorder,0.5
"agorophobia, social phobia, and panic disorder",0.75
obsessive-compulsive disorders,0.5
dysthymic disorder,1.0
acute reaction to stress,0.5
personality disorders,0.5
antisocial/borderline personality disorder,0.5
sexual and gender identity disorders,0.25
adjustment reaction,0.7
eating disorder,0.5
other mental disorder,0.5
pervasive developmental disorders,0.5
attention deficit hyperactivity disorder,0.3
substance addiction and disorders,0.7
alcohol-related disorders,0.5
alcoholism,0.5
tobacco use disorder,0.2
sleep disorders,0.7
insomnia,0.7
organic or persistent insomnia,0.7
chronic pain,0.5
chronic pain syndrome,0.5
disorders of the globe,0.0
other retinal disorders,0.0
other nondiabetic retinopathy,0.0
corneal opacity and other disorders of cornea,0.0
glaucoma,0.0
primary angle-closure glaucoma,0.0
cataract,0.0
senile cataract,0.0
disorders of refraction and accommodation; blindness and low vision,0.0
blindness and low vision,0.2
visual disturbances,0.2
disorders of lacrimal system,0.0
dry eyes,0.2
disorders of optic nerve and visual pathways,0.0
optic neuritis/neuropathy,0.0
other disorders of eye,0.0
angina pectoris,0.0
ill-defined descriptions and complications of heart disease,0.0
hypotension,0.2
asthma,0.0
dependence on respirator [ventilator] or supplemental oxygen,0.1
urinary incontinence,0.2
absent or infrequent menstruation,0.2
irregular menstrual bleeding,0.2
dysmenorrhea,0.2
disturbance of skin sensation,0.1
alopecia,0.1
osteoporosis,0.1
back pain,0.2
contusion,0.0
trazodone,0.75
mirtazapine,0.9
amphetamine / dextroamphetamine,0.25
clonazepam,0.75
lamotrigine,0.75
escitalopram,1.0
dexamethasone,0.0
paroxetine,1.0
doxepin,0.75
sertraline,1.0
topiramate,0.25
venlafaxine,0.9
bupropion,0.75
fluoxetine,1.0
haloperidol,0.25
quetiapine,0.75
hydroxyzine,0.25
amitriptyline,0.75
naltrexone,0.5
duloxetine,0.75
aripiprazole,0.75
pituitary hypofunction,0.25
anorexia,0.5
lack of normal physiological development,0.3
delayed milestones,0.2
"lack of normal physiological development, unspecified",0.2
neutropenia,0.0
other specified nonpsychotic and/or transient mental disorders,0.5
alteration of consciousness,0.3
altered mental status,0.5
psychogenic and somatoform disorders,0.75
somatoform disorder,0.5
conduct disorders,0.3
tics and stuttering,0.2
autism,0.25
learning disorder,0.25
mental retardation,0.2
coma,0.1
myopia,0.0
strabismus and other disorders of binocular eye movements,0.0
cardiomyopathy,0.1
congestive heart failure (chf) nos,0.0
hypotension nos,0.1
apnea,0.2
decubitus ulcer,0.0
open wound or laceration of eye or eyelid,0.0
risperidone,0.75
guanfacine,0.2
"infestation (lice, mites)",0.0
hypocalcemia,0.1
immunity deficiency,0.2
dementias,0.5
vascular dementia,0.25
hallucinations,0.5
schizophrenia,0.25
paranoid disorders,0.25
posttraumatic stress disorder,0.75
decreased libido,0.7
psychogenic disorder,0.75
mental disorders durring/after pregnancy,0.75
impulse control disorder,0.3
parasomnia,0.3
circadian rhythm sleep disorder,0.5
degeneration of macula and posterior pole of retina,0.0
macular degeneration (senile) of retina nos,0.0
open-angle glaucoma,0.0
diplopia and disorders of binocular vision,0.1
visual field defects,0.1
subjective visual disturbances,0.2
disorders of conjunctiva,0.0
other disorders of eyelids,0.0
ptosis of eyelid,0.0
disorders of vitreous body,0.0
cardiac arrest,0.1
sinoatrial node dysfunction (bradycardia),0.0
lurasidone,0.75
buspirone,0.75
chlorpromazine,0.5
clomipramine,0.75
buprenorphine / naloxone,0.25
fluvoxamine,0.9
olanzapine,0.75
lithium,0.75
nortriptyline,0.75
prazosin,0.25
phobia,0.5
dissociative disorder,0.5
anorexia nervosa,0.7
retinal vascular changes and abnomalities,0.1
"chorioretinal inflammations, scars, and other disorders of choroid",0.0
chorioretinal scars,0.0
inflammation of the eye,0.0
inflammation of eyelids,0.0
anomalies of pupillary function,0.1
poisoning by psychotropic agents,0.5
tranylcypromine,0.9
desipramine,0.9
disulfiram,0.0
atomoxetine,0.5
imipramine,0.9
paliperidone,0.5
benign neoplasm of eye,0.0
nutritional marasmus,0.1
senile dementia,0.5
progressive myopia,0.0
retinal detachments and defects,0.0
cystoid macular degeneration of retina,0.0
macular puckering of retina,0.0
drusen (degenerative) of retina,0.0
peripheral retinal degenerations,0.0
hereditary retinal dystrophies,0.0
corneal opacity,0.0
corneal degenerations,0.0
corneal dystrophy,0.0
primary open angle glaucoma,0.0
astigmatism,0.0
hypermetropia,0.0
amblyopia,0.0
anisometropia,0.0
ectropion or entropion,0.0
dermatochalasis,0.0
optic atrophy,0.0
strabismus (not specified as paralytic),0.0
disorders of iris and ciliary body,0.0
non-healing surgical wound,0.1
vilazodone,0.9
schizoid personality disorder,0.3
"macular degeneration, dry",0.0
abnormal posture,0.2
congenital anomalies of the eye,0.0
congenital anomalies of posterior segment of eye,0.0
nonsenile cataract,0.0
pseudoexfoliation glaucoma,0.0
traumatic cataract,0.0
congenital cataract and lens anomalies,0.0
Tricyclic antidepressants,1.0
Norsertraline,0.5
Sertraline,1.0
Amphetamines,0.25
Opiates,0.5
Cocaine,0.0
Cannabinoids,0.2
Desipramine,0.75
Norclomipramine,0.75
Doxepin,0.9
Norfluoxetine,0.0
Imipramine+Desipramine,0.9
visual aids and other optical supplies,0.0
Benzodiazepines,0.5
MASK,0.0
SUPPLY,0.0
DRESSING,0.0
pain,0.5
debility unspecified,0.2
PAD,0.0
BAG,0.0
Specimen Type,0.0
diarrhea,0.1
ADAPT,0.0
presbyopia,0.0
Tablet,0.0
CONTAINER,0.0
DRAIN,0.0
RESOURCE,0.0
SYRINGE,0.0
Lotion,0.0
GENTLE CREAM,0.0
Cold cream,0.0
amoxapine,0.75
KIT,0.0
Negative Occult Control,0.0
protriptyline,0.75
trimipramine,0.9
maprotiline,0.9
Syncope,0.2
chart diagnosis,0.0
clinical impression,0.5
comment,0.0
consultant,0.0
device,0.0
diagnosis code,0.0
dimorphism,0.0
dose,0.0
draw and hold,0.0
interpretation,0.0
low-density lipoprotein cholesterol risk interpretation,0.1
medications,0.5
message,0.0
negative control (point of care),0.0
phenotype,0.0
product code,0.0
product identification,0.0
rate,0.0
reason,0.0
released by,0.0
report,0.0
resolution,0.0
result,0.0
see below,0.0
source,0.0
specimen,0.0
specimen type,0.0
stressors,0.75
supernatant,0.0
time low,0.0
titer,0.0
Rh,0.0
QUEtiapine,0.75
Procedure,0.0
Medication prescribed,0.5
Class,0.0
Nidus,0.0
Clinical info,0.0
Specimen type,0.0
Specimen condition,0.0
Specimen container,0.0
Symptom,0.0
Citation,0.0
Laboratory comment,0.0
risperiDONE,0.75
Composition,0.0
levomilnacipran,1.0
naldemedine,0.0
lithium carbonate,0.75
lithium citrate,0.75
carBAMazepine free,0.5
clomiPRAMINE+Norclomipramine,0.9
dorzolamide,0.0
Yellow Hornet (Dolichovespula arenaria) IgE,0.0
Peanut (Arachis hypogaea) native (nAra h) 3 IgE,0.0
Ethyl glucuronide,0.0
congenital anomalies of intestine,0.0
Cholesterol,0.0
Clotting time,0.0
trametinib,0.0
Ceruloplasmin,0.0
IgG clearance/Albumin clearance,0.0
