name1,name2,desc1,desc2
CCS:1,CCS:177,incision and excision of cns,computerized axial tomography (ct) scan head
CCS:1,CCS:2,incision and excision of cns,"insertion, replacement, or removal of extracranial ventricular shunt"
CCS:1,CCS:9,incision and excision of cns,other or therapeutic nervous system procedures
CCS:100,CCS:108,endoscopy and endoscopic biopsy of the urinary tract,indwelling catheter
CCS:100,CCS:111,endoscopy and endoscopic biopsy of the urinary tract,other non-or therapeutic procedures of urinary tract
CCS:100,CCS:113,endoscopy and endoscopic biopsy of the urinary tract,transurethral resection of prostate (turp)
CCS:101,CCS:109,"transurethral excision, drainage, or removal urinary obstruction",procedures on the urethra
CCS:101,CCS:187,"transurethral excision, drainage, or removal urinary obstruction",intravenous pyelogram
CCS:102,CCS:109,ureteral catheterization,procedures on the urethra
CCS:102,CCS:111,ureteral catheterization,other non-or therapeutic procedures of urinary tract
CCS:102,CCS:187,ureteral catheterization,intravenous pyelogram
CCS:103,CCS:187,nephrotomy and nephrostomy,intravenous pyelogram
CCS:104,CCS:110,"nephrectomy, partial or complete",other diagnostic procedures of urinary tract
CCS:104,CCS:195,"nephrectomy, partial or complete",diagnostic ultrasound of urinary tract
CCS:106,CCS:124,genitourinary incontinence procedures,"hysterectomy, abdominal and vaginal"
CCS:107,CCS:112,"extracorporeal lithotripsy, urinary",other or therapeutic procedures of urinary tract
CCS:107,CCS:187,"extracorporeal lithotripsy, urinary",intravenous pyelogram
CCS:107,CCS:230,"extracorporeal lithotripsy, urinary","extracorporeal shock wave, other than urinary"
CCS:108,CCS:109,indwelling catheter,procedures on the urethra
CCS:108,CCS:111,indwelling catheter,other non-or therapeutic procedures of urinary tract
CCS:108,CCS:112,indwelling catheter,other or therapeutic procedures of urinary tract
CCS:109,CCS:111,procedures on the urethra,other non-or therapeutic procedures of urinary tract
CCS:109,CCS:113,procedures on the urethra,transurethral resection of prostate (turp)
CCS:109,CCS:115,procedures on the urethra,circumcision
CCS:109,CCS:116,procedures on the urethra,"diagnostic procedures, male genital"
CCS:109,CCS:118,procedures on the urethra,"other or therapeutic procedures, male genital"
CCS:110,CCS:195,other diagnostic procedures of urinary tract,diagnostic ultrasound of urinary tract
CCS:112,CCS:187,other or therapeutic procedures of urinary tract,intravenous pyelogram
CCS:113,CCS:114,transurethral resection of prostate (turp),open prostatectomy
CCS:113,CCS:118,transurethral resection of prostate (turp),"other or therapeutic procedures, male genital"
CCS:114,CCS:118,open prostatectomy,"other or therapeutic procedures, male genital"
CCS:115,CCS:117,circumcision,"other non-or therapeutic procedures, male genital"
CCS:115,CCS:118,circumcision,"other or therapeutic procedures, male genital"
CCS:119,CCS:132,"oophorectomy, unilateral and bilateral","other or therapeutic procedures, female organs"
CCS:119,CCS:80,"oophorectomy, unilateral and bilateral",appendectomy
CCS:119,CCS:90,"oophorectomy, unilateral and bilateral","excision, lysis peritoneal adhesions"
CCS:123,CCS:125,other operations on fallopian tubes,other excision of cervix and uterus
CCS:123,CCS:132,other operations on fallopian tubes,"other or therapeutic procedures, female organs"
CCS:123,CCS:90,other operations on fallopian tubes,"excision, lysis peritoneal adhesions"
CCS:124,CCS:132,"hysterectomy, abdominal and vaginal","other or therapeutic procedures, female organs"
CCS:124,CCS:90,"hysterectomy, abdominal and vaginal","excision, lysis peritoneal adhesions"
CCS:13,CCS:15,corneal transplant,lens and cataract procedures
CCS:130,CCS:131,"other diagnostic procedures, female organs","other non-or therapeutic procedures, female organs"
CCS:130,CCS:182,"other diagnostic procedures, female organs",mammography
CCS:131,CCS:132,"other non-or therapeutic procedures, female organs","other or therapeutic procedures, female organs"
CCS:14,CCS:16,glaucoma procedures,"repair of retinal tear, detachment"
CCS:14,CCS:20,glaucoma procedures,other intraocular therapeutic procedures
CCS:142,CCS:164,partial excision bone,other or therapeutic procedures on musculoskeletal system
CCS:142,CCS:6,partial excision bone,decompression peripheral nerve
CCS:143,CCS:150,bunionectomy or repair of toe deformities,"division of joint capsule, ligament or cartilage"
CCS:144,CCS:32,"treatment, facial fracture or dislocation","other non-or therapeutic procedures on nose, mouth and pharynx"
CCS:144,CCS:33,"treatment, facial fracture or dislocation","other or therapeutic procedures on nose, mouth and pharynx"
CCS:146,CCS:147,"treatment, fracture or dislocation of hip and femur","treatment, fracture or dislocation of lower extremity (other than hip or femur)"
CCS:147,CCS:161,"treatment, fracture or dislocation of lower extremity (other than hip or femur)",other or therapeutic procedures on bone
CCS:147,CCS:163,"treatment, fracture or dislocation of lower extremity (other than hip or femur)",other non-or therapeutic procedures on musculoskeletal system
CCS:147,CCS:214,"treatment, fracture or dislocation of lower extremity (other than hip or femur)","traction, splints, and other wound care"
CCS:149,CCS:152,arthroscopy,arthroplasty knee
CCS:15,CCS:16,lens and cataract procedures,"repair of retinal tear, detachment"
CCS:15,CCS:20,lens and cataract procedures,other intraocular therapeutic procedures
CCS:150,CCS:151,"division of joint capsule, ligament or cartilage",excision of semilunar cartilage of knee
CCS:150,CCS:160,"division of joint capsule, ligament or cartilage",other therapeutic procedures on muscles and tendons
CCS:151,CCS:152,excision of semilunar cartilage of knee,arthroplasty knee
