desc,gpt4
bunionectomy or repair of toe deformities,0.2
arthrocentesis,0.75
"injections and aspirations of muscles, tendons, bursa, joints and soft tissue",0.75
amputation of lower extremity,0.1
spinal fusion,0.25
other or therapeutic procedures on bone,0.5
other or therapeutic procedures on joints,0.75
other non-or therapeutic procedures on musculoskeletal system,0.75
therapeutic radiology,0.3
"traction, splints, and other wound care",0.2
"extracorporeal shock wave, other than urinary",0.1
pathology,0.05
other laboratory,0.05
home health services,0.25
"incision of pleura, thoracentesis, chest drainage",0.2
esophageal dilatation,0.1
CRP SerPl Ql,0.75
ENA SM Ab Ser-aCnc,0.2
Rheumatoid fact Snv-aCnc,0.75
Rheumatoid fact Titr Snv Aggl,1.0
Dexamethasone SerPl-mCnc,0.75
Rheumatoid fact Titr Ser Neph,0.9
Rheumatoid fact Ser Neph-aCnc,0.75
Reticulin Ab Ser Ql,0.2
ENA SS-B Ab Ser-aCnc,0.2
ENA SS-A Ab Ser-aCnc,0.75
RPR Ser Ql,0.1
RPR SerPl-aCnc,0.75
Renin Plas-cCnc,0.1
CRP SerPl HS-mCnc,0.75
cCP Ab Ser IA-aCnc,0.9
cCP IgG SerPl-aCnc,0.85
Ibuprofen SerPl Scn-mCnc,0.75
inFLIXimab SerPl-mCnc,0.75
ESR Bld Qn Westrgrn,0.75
MRN,0.0
VDRL CSF-aCnc,0.0
Crystals Snv Micro,0.1
Rouleaux Bld Ql Smear,0.2
crp (mg/l) (group:crpt),0.75
bacterial enteritis,0.1
bacteremia,0.1
human immunodeficiency virus [hiv] disease,0.1
amyloidosis,0.3
gout and other crystal arthropathies,0.2
gout,0.1
gouty arthropathy,0.0
other disorders of metabolism,0.1
disorders involving the immune mechanism,0.7
purpura and other hemorrhagic conditions,0.1
primary thrombocytopenia,0.1
lymphadenitis,0.2
other persistent mental disorders due to conditions classified elsewhere,0.0
"anxiety, phobic and dissociative disorders",0.1
acute reaction to stress,0.0
eating disorder,0.0
attention deficit hyperactivity disorder,0.0
multiple sclerosis,0.0
disorders of the autonomic nervous system,0.1
chronic pain,0.5
other peripheral nerve disorders,0.1
complex regional/central pain syndrome,0.1
inflammatory and toxic neuropathy,0.25
other retinal disorders,0.1
corneal opacity and other disorders of cornea,0.2
disorders of lacrimal system,0.1
optic neuritis/neuropathy,0.1
rheumatic disease of the heart valves,0.3
hypertensive heart disease,0.0
other forms of chronic heart disease,0.2
raynaud's syndrome,0.3
orthostatic hypotension,0.1
diseases of the larynx and vocal cords,0.1
allergic rhinitis,0.0
asthma,0.0
other diseases of lung,0.1
regional enteritis,0.0
ulcerative colitis,0.1
