name,desc,sap_cos,coder_cos,svd_cos,old_cos,selected_by,gpt4
PheCode:250.1,type 1 diabetes,0.9999995827674866,1.0000003576278689,0.9999991059303284,1.0000003576278689,sap&coder&svd&old,1.0
PheCode:250,diabetes mellitus,0.9630770087242126,0.8138217926025391,0.5497224926948547,0.8543076515197754,sap&coder&svd&old,0.75
LOINC:LP30832-7,Diabetes status,0.957656741142273,0.7748931050300598,0.0061261164955794,0.2354753166437149,sap&coder,0.75
PheCode:250.14,type 1 diabetes with neurological manifestations,0.9570522308349608,0.7434641718864441,0.730819821357727,0.8703088760375977,sap&coder&svd&old,1.0
PheCode:250.12,type 1 diabetes with renal manifestations,0.9480414986610411,0.7517945170402527,0.653195321559906,0.8573402166366577,sap&coder&svd&old,1.0
RXNORM:4850,glucose,0.9460684657096864,0.7065346240997314,0.2017674893140792,0.3541658818721771,sap&coder&svd,0.75
ShortName:Glucose,glucose,0.9460684657096864,0.7065346240997314,0.0448759347200393,0.2942095100879669,sap&coder,0.75
LOCAL|LAB:GLUCOSE,glucose,0.9460684657096864,0.7065346240997314,-0.0049161622300744,0.3634005486965179,sap&coder,0.75
LOINC:LP14635-4,Glucose,0.9460684657096864,0.7065346240997314,0.1244228556752204,0.424375057220459,sap,0.75
RXNORM:222163,DIABETISOURCE,0.9437586069107056,0.7532364130020142,0.0239933989942073,0.2066358476877212,sap&coder,0.0
PheCode:250.15,diabetes type 1 with peripheral circulatory disorders,0.9419442415237428,0.7217919230461121,0.5720145106315613,0.8474863767623901,sap&coder&svd&old,1.0
LOINC:LP14676-8,Insulin,0.9419013261795044,0.6900046467781067,0.1232582703232765,0.3699490129947662,sap&coder,0.9
PheCode:250.2,type 2 diabetes,0.940833866596222,0.8610614538192749,0.4271799325942993,0.7846757173538208,sap&coder&svd&old,0.0
LOCAL|LAB:INSULIN COVERAGE GLUCOSE,insulin coverage glucose,0.93979012966156,0.736083984375,0.033106118440628,0.2622288763523102,sap&coder,0.85
PheCode:251.1,hypoglycemia,0.9389037489891052,0.7237531542778015,0.3362369239330292,0.5817614793777466,sap&coder&svd&old,0.75
