desc,gpt4
alzheimer's disease,1.0
dementias,0.85
delirium dementia and amnestic and other cognitive disorders,0.85
vascular dementia,0.2
altered mental status,0.65
neurological disorders,0.5
dementia with cerebral degenerations,0.85
hyperosmolality and/or hypernatremia,0.1
senile dementia,0.85
donepezil,1.0
mild cognitive impairment,0.75
memantine,1.0
acute cystitis,0.0
tau protein,0.85
other persistent mental disorders due to conditions classified elsewhere,0.65
transient alteration of awareness,0.2
melatonin,0.25
rivastigmine,1.0
memory loss,0.75
other specified cardiac dysrhythmias,0.0
cystitis,0.0
parkinson's disease,0.1
specimen status (group:spstatus),0.0
alteration of consciousness,0.2
other specified nonpsychotic and/or transient mental disorders,0.25
cystitis and urethritis,0.0
paranoid disorders,0.1
quetiapine,0.25
electrolyte imbalance,0.1
ramelteon,0.1
fracture of neck of femur,0.05
delirium due to conditions classified elsewhere,0.25
hypertensive heart disease,0.05
galantamine,0.85
pneumonitis due to inhalation of food or vomitus,0.05
adult failure to thrive,0.3
"cerebral degeneration, unspecified",0.75
referral lab test name,0.1
insulin pump user,0.0
ascvd,0.1
haloperidol,0.25
chronic bronchitis,0.0
hallucinations,0.65
obstructive chronic bronchitis,0.0
abnormality of gait,0.65
"encephalopathy, not elsewhere classified",0.25
other forms of chronic heart disease,0.05
valproate free,0.05
retention of urine,0.1
encounter for long-term (current) use of aspirin,0.05
cerebral atherosclerosis,0.2
thick & easy,0.1
urinary incontinence,0.3
diaper,0.1
home health services,0.25
underpants,0.0
other cerebral degenerations,0.75
develomental delays and disorders,0.1
acetaminophen,0.0
tamsulosin,0.0
psychosis,0.65
underpad,0.05
vitamin b12,0.2
effects of other external causes,0.05
sertraline,0.2
psychophysical visual disturbances,0.2
alcohol/benzoic acid/eucalyptol/methyl salicylate/thymol,0.0
risperidone,0.65
finasteride,0.0
diaper or napkin rash,0.0
constipation,0.1
aspirin,0.0
carbidopa / levodopa,0.1
lanolin / mineral oil,0.0
hydrocephalus,0.2
simplythick,0.0
valproic acid,0.1
pad,0.0
cleansing cloth,0.0
other open wound of head and face,0.0
wandering in diseases classified elsewhere,0.75
essential hypertension,0.05
hypertension,0.05
need for continuous supervision,0.85
holiday relief care,0.1
cerebral ischemia,0.25
other health problems within the family,0.1
dependent relative needing care at home,0.25
coconut oil,0.1
transient cerebral ischemia,0.1
genistein,0.1
person awaiting admission to adequate facility elsewhere,0.2
consult / referral to hospice,0.65
consult / referral to social work,0.25
"fall on same level from slipping, tripping and stumbling with subsequent striking against unspecified object, sequela",0.1
"fall from bed, sequela",0.2
epinephrine-lidocaine,0.0
hospice,0.65
"encounter for long-term (current) use of anticoagulants, antithrombotics, aspirin",0.05
computerized axial tomography (ct) scan head,0.25
accidental fall from bed,0.2
"perpetrator of child and adult abuse, by child",0.0
electronic consult / referral to geriatrics,0.5
other place in nursing home as the place of occurrence of the external cause,0.1
"tetanus toxoid vaccine, inactivated",0.0
tetanus toxoid,0.0
consult / referral to pre-drivers assessment,0.25
"fall through floor, initial encounter",0.05
unspecified residential institution as the place of occurrence of the external cause,0.1
bathroom in other specified residential institution as the place of occurrence of the external cause,0.05
aluminum,0.05
melatonin1.5mg(1/2of3mgtab),0.1
glycerin_liquid_120_ml,0.0
wheat dextrin,0.0
cholecalciferol / vitamin k2,0.05
bp goal 150/90,0.05
consult / referral to home health care,0.3
arthroscopy,0.0
"injections and aspirations of muscles, tendons, bursa, joints and soft tissue",0.05
other therapeutic endocrine procedures,0.05
"treatment, fracture or dislocation of radius and ulna",0.0
corneal transplant,0.0
"diagnostic procedures, male genital",0.0
arthroplasty knee,0.0
procedures on the urethra,0.0
other diagnostic procedures on musculoskeletal system,0.0
other diagnostic procedures of urinary tract,0.05
bunionectomy or repair of toe deformities,0.0
"other non-or therapeutic procedures, female organs",0.0
open prostatectomy,0.0
"treatment, fracture or dislocation of lower extremity (other than hip or femur)",0.0
"extracorporeal lithotripsy, urinary",0.0
"division of joint capsule, ligament or cartilage",0.0
"other or therapeutic procedures, male genital",0.0
arthroplasty other than hip or knee,0.0
ureteral catheterization,0.0
spinal fusion,0.0
"hysterectomy, abdominal and vaginal",0.0
other excision of cervix and uterus,0.0
nephrotomy and nephrostomy,0.0
"other diagnostic procedures, female organs",0.0
other non-or therapeutic procedures of urinary tract,0.05
partial excision bone,0.0
"other or therapeutic procedures, female organs",0.0
transurethral resection of prostate (turp),0.0
"treatment, facial fracture or dislocation",0.0
genitourinary incontinence procedures,0.1
"treatment, fracture or dislocation of hip and femur",0.05
circumcision,0.0
other fracture and dislocation procedure,0.05
"transurethral excision, drainage, or removal urinary obstruction",0.0
lens and cataract procedures,0.05
"other non-or therapeutic procedures, male genital",0.0
excision of semilunar cartilage of knee,0.0
indwelling catheter,0.1
"hip replacement, total and partial",0.0
"oophorectomy, unilateral and bilateral",0.0
arthrocentesis,0.0
"thyroidectomy, partial or complete",0.0
amputation of lower extremity,0.0
other operations on fallopian tubes,0.0
diagnostic endocrine procedures,0.1
incision and excision of cns,0.1
endoscopy and endoscopic biopsy of the urinary tract,0.0
"nephrectomy, partial or complete",0.0
other or therapeutic procedures of urinary tract,0.0
glaucoma procedures,0.05
aricept,1.0
namenda,1.0
donepezil hydrochloride 10 mg oral tablet,1.0
donepezil hydrochloride 5 mg oral tablet,1.0
pneumovax 23,0.05
urinary tract infection,0.1
kidney and urinary tract infections with mcc,0.05
unspecified fall,0.2
acetaminophen 300 mg / codeine phosphate 30 mg oral tablet,0.0
atrial fibrillation,0.05
other and unspecified disorders of the nervous system,0.25
ceftriaxone 1000 mg injection,0.0
wound debridement and skin graft except hand for musculoskeletal and connective tissue disorders with mcc,0.0
do not resuscitate status,0.1
secondary malignant neoplasm of digestive systems,0.0
troponin t,0.0
"creatine kinase, mb isoenzyme",0.05
syncope and collapse,0.1
or received,0.0
"sennosides, usp 8.6 mg oral tablet",0.0
delta d3,0.05
aspirin 81 mg chewable tablet,0.0
osteoporosis nos,0.05
cefpodoxime 100 mg oral tablet,0.0
cardiac arrhythmia and conduction disorders with mcc,0.0
sinoatrial node dysfunction (bradycardia),0.05
olanzapine 5 mg disintegrating oral tablet,0.25
"pneumovax 23, injectable solution",0.05
contusion,0.05
acute renal failure,0.05
e. coli,0.0
respiratory signs and symptoms,0.1
routine or ritual circumcision,0.0
"chronic kidney disease, stage iii",0.05
"other forms of mild vascular dementia, primarily hallucinatory symptoms",0.25
"valpromide - depamide, 300 mg enteric-coated tablet",0.1
symptoms involving nervous and musculoskeletal systems,0.25
lorazepam,0.2
impaction of intestine,0.0
"immobility, other and unspecified",0.1
home sai fall,0.1
collective institution sai fall,0.05
"mianserine 30 mg (sandoz lab), scored tablet",0.1
fall from bed - collective establishment,0.1
degenerative and vascular disorders of ear,0.05
fall from bed - home,0.1
"osteoarthrosis, generalized",0.05
other same-level fall - collective establishment,0.05
replacement of the hip joint with a femoral cervicocephalic prosthesis and mobile cup,0.0
bumetanide,0.05
"glucose 5%, iv sol for infusion, bag 50 ml (viaflo)",0.0
open fracture of the trochanter,0.0
extracapsular fracture fixation of the femoral neck,0.05
orthostatic hypotension,0.1
fall from a chair - home,0.1
another same-level fall - home,0.1
macular degeneration (senile) of retina nos,0.1
degeneration of macula and posterior pole of retina,0.05
doppler ultrasound of the inferior vena cava and its tributaries,0.0
"tianeptine - stablon 12.5 mg, tablets",0.1
deficiency anemias,0.05
"adverse effect: antidepressants, others, and unspecified",0.2
dissociative disorder,0.05
"escitalopram, 5 mg tablet",0.2
mirtazapine,0.25
other senile states without mention of psychosis,0.75
"scopolamine, 0.50 mg/2 ml inj sol",0.2
fall from a chair - collective establishment,0.1
Acetylcholinesterase,0.85
csf beta-amyloid,0.85
Amyloid A,0.1
beta amyloid peptide,0.85
als/ftd genetics,0.25
adicap code,0.0
adnic,0.0
antidepressant identifier,0.1
aluminum acetate,0.0
atherosclerosis,0.1
cerebral neurotransmitter,0.25
nordiazepam,0.1
delirium assessment,0.3
aspartic acid csf,0.1
aggrenox,0.1
amyloidosis,0.25
coronary atherosclerosis,0.0
autism,0.0
intelligence,0.05
brain neurotransmitters,0.25
adacel,0.0
cerebrovascular disease,0.25
dextroamphetamine,0.1
acapella,0.0
angiotensin converting enzyme,0.05
agitation,0.65
Neuronal Ab,0.25
aluminum chloride,0.05
psychotropic,0.25
acecarbromal,0.0
acylcarnitine,0.05
angiotensin-converting enzyme,0.1
aspartic acid,0.0
amyotrophic lateral sclerosis,0.0
apa ----,0.0
amnestic syndrome: mult drugs - other psychiatric conditions,0.25
dementia due to multiple drugs and other psychoactive substances,0.2
jakob-creutzfeldt disease,0.1
familial amyloidosis,0.25
alcoholism,0.05
multiple sclerosis,0.05
"acute, but ill-defined cerebrovascular disease",0.2
anti-ma2-associated encephalitis,0.1
creutzfeldt-jakob/prion batt,0.1
"parkinson (park2, snca)",0.1
ttpatient (acc),0.0
"electroencephalography on 14 or more leads with a minimum recording duration of 20 minutes, with digitization in a patient aged 6 years or older",0.1
mac,0.0
atheroembolism,0.1
"delirium not superimposed on dementia, thus described",0.2
migrain with aura,0.0
huntington (it15),0.0
add automatic control,0.0
undelivered art,0.0
polyspecific dat,0.1
electrical terminal block,0.0
nutritional polyneuropathy (e40-e64$),0.1
optic atrophy (oa),0.1
acc research (la),0.0
"electroencephalography on 8 channels or more with a minimum recording duration of 30 minutes, with digitization and video recording, in a patient under 6 years old.",0.05
anterior horn cell disease,0.05
apa conclusion,0.0
aspitest conclusion,0.1
ana --> pellegrin,0.0
aphasia,0.65
amyloid beta 42,0.85
osteoporosis,0.05
amyloid beta 40,0.85
ataxia,0.25
Amyloid beta 42 peptide,0.85
encephalitis,0.1
learning disorder,0.1
fve title,0.0
huntington disease mutation,0.05
hemiplegia,0.1
influenza,0.0
aortic valve disease,0.0
beta-amyloid 1-40,0.85
Amyloid beta 40 peptide,0.85
cholinesterase,0.85
neurological,0.25
csf search,0.2
down syndrome,0.1
bipolar disorders,0.05
title,0.0
intellectual disability,0.2
celiac disease,0.0
schizophrenia,0.05
epilepsy,0.1
other degenerative diseases of the basal ganglia,0.25
alzheimer's disease neuroimaging initiative phosphorylated tau interpretation,1.0
senile osteoporosis,0.1
anxiety disorder,0.25
vanishing white matter disease,0.1
coma,0.1
serum amyloid a protein,0.25
anemia of chronic disease,0.1
acetylcholine,0.25
depression,0.65
moyamoya disease,0.05
glaucoma,0.05
amantadine,0.1
charcot-marie-tooth disease,0.0
alcohol,0.05
specific nonpsychotic mental disorders due to brain damage,0.85
prochlorperazine,0.1
transient mental disorders due to conditions classified elsewhere,0.2
symbolic dysfunction,0.65
consult / referral to memory disorder center,0.85
mental status screening,0.65
extrapyramidal disease and abnormal movement disorders,0.25
aphasia/speech disturbance,0.75
myoclonus,0.2
counseling nos,0.2
other mental disorder,0.25
malaise and fatigue,0.2
spinocerebellar disease,0.1
abnormal involuntary movements,0.25
mood disorders,0.4
mental retardation,0.1
consult / referral to driving evaluation,0.25
consult / referral to neuropsychology clinic,0.75
antisocial/borderline personality disorder,0.0
personality disorders,0.1
alpha aminobutyrate,0.05
